ID_Ponto,Nome,Status,Data,Hora
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,02:49:24
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,03:56:39
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,03:56:39
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,03:56:39
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,03:56:39
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,03:56:39
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,05:06:38
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,05:06:38
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,05:06:38
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,05:06:38
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,05:06:38
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Charging,2026-03-26,06:13:49
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,06:13:49
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-26,06:13:49
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,06:13:49
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,06:13:49
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,07:14:38
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,07:14:38
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-26,07:14:38
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,07:14:38
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,07:14:38
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Charging,2026-03-26,08:15:07
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,08:15:07
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-26,08:15:07
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,08:15:07
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,08:15:07
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,09:04:06
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,09:04:06
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,09:04:06
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,09:04:06
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,09:04:06
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Finishing,2026-03-26,10:56:34
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,10:56:34
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-26,10:56:34
6890bcc16899c6001f414dc8,Posto Quality,Charging,2026-03-26,10:56:34
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,10:56:34
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,12:16:57
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,12:16:57
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,12:16:57
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,12:16:57
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,12:16:57
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,13:37:57
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,13:37:57
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,13:37:57
6890bcc16899c6001f414dc8,Posto Quality,Charging,2026-03-26,13:37:57
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,13:37:57
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,14:42:37
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,14:42:37
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,14:42:37
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,14:42:37
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,14:42:37
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Charging,2026-03-26,15:42:05
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,15:42:05
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,15:42:05
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,15:42:05
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,15:42:05
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,16:44:58
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,16:44:58
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-26,16:44:58
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,16:44:58
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,16:44:58
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,17:22:48
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,17:22:48
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,17:22:48
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,17:22:48
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,17:22:48
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Charging,2026-03-26,17:58:57
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,17:58:57
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,17:58:57
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,17:58:57
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,17:58:57
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,18:41:40
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,18:41:40
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,18:41:40
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,18:41:40
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-26,18:41:40
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,19:01:05
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,19:01:05
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,19:01:05
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,19:01:05
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-26,19:01:05
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,19:48:31
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-26,19:48:31
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Faulted,2026-03-26,19:48:31
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,19:48:31
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-26,19:48:31
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,20:17:59
